;;;;;;;;;;Daily report lt 55 zone ABCD;;;;;;;Printed Date 2021/12/21(Tue);;;1
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 55 Zone A;kWh WBP 55 Zone A;kWh LWBP 55 Zone A;kWh total 55 Zone B;kWh WBP 55 Zone B;kWh LWBP 55 Zone B;kWh total 55 Zone C;kWh WBP 55 Zone C;kWh LWBP 55 Zone C;kWh total 55 Zone D;kWh WBP 55 Zone D;kWh LWBP 55 Zone D;kW Total 55 Zone A;;;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kW;;;;;
2;20/12/2021;06:00;1.4;0.0;1.4;0.1;0.0;0.1;0.0;0.0;0.1;0.2;0.0;0.2;0.3;0.0;0.3;;;
2;20/12/2021;07:00;1.3;0.0;1.3;7.9;0.0;7.8;3.6;0.0;3.5;5.9;0.0;5.9;13.4;0.0;13.5;;;
2;20/12/2021;08:00;1.2;0.0;1.3;8.7;0.0;8.9;9.2;0.0;9.2;21.6;0.0;21.6;19.5;0.0;19.4;;;
2;20/12/2021;09:00;1.3;0.0;1.3;7.3;0.0;7.1;8.5;0.0;8.4;20.8;0.0;20.5;16.0;0.0;15.8;;;
2;20/12/2021;10:00;1.2;0.0;1.2;6.1;0.0;6.2;9.2;0.0;9.3;20.7;0.0;21.1;14.6;0.0;14.9;;;
2;20/12/2021;11:00;1.3;0.0;1.3;5.3;0.0;5.4;9.5;0.0;9.4;21.6;0.0;21.2;15.6;0.0;15.3;;;
2;20/12/2021;12:00;1.3;0.0;1.2;6.2;0.0;6.2;9.6;0.0;9.8;21.5;0.0;21.8;15.6;0.0;15.8;;;
2;20/12/2021;13:00;1.3;0.0;1.4;6.1;0.0;6.1;9.2;0.0;9.2;18.2;0.0;18.3;14.4;0.0;14.4;;;
2;20/12/2021;14:00;1.3;0.0;1.2;6.1;0.0;5.9;9.0;0.0;8.8;18.4;0.0;18.1;12.8;0.0;12.9;;;
2;20/12/2021;15:00;1.2;0.0;1.3;5.9;0.0;6.0;9.1;0.0;9.3;18.0;0.0;18.3;14.1;0.0;14.1;;;
2;20/12/2021;16:00;1.3;0.0;1.2;6.0;0.0;5.9;9.3;0.0;9.1;21.3;0.0;20.9;14.8;0.0;14.5;;;
2;20/12/2021;17:00;1.2;0.0;1.3;5.6;0.0;5.7;7.8;0.0;7.9;16.1;0.0;16.4;12.9;0.0;13.2;;;
2;20/12/2021;18:00;1.3;0.0;1.2;5.7;0.0;5.7;8.7;0.0;8.8;13.5;0.0;13.5;14.2;0.0;14.1;;;
2;20/12/2021;19:00;1.1;0.8;0.4;2.0;0.8;1.3;2.4;0.6;1.7;4.3;1.3;3.0;4.0;1.5;2.5;;;
2;20/12/2021;20:00;1.0;1.0;0.0;1.1;1.1;0.0;0.8;0.7;0.0;1.8;1.7;0.0;2.0;2.0;0.0;;;
2;20/12/2021;21:00;1.1;1.1;0.0;1.0;0.9;0.0;0.6;0.7;0.0;1.5;1.6;0.0;1.3;1.3;0.0;;;
2;20/12/2021;22:00;1.1;1.1;0.0;0.2;0.2;0.0;0.1;0.0;0.0;0.6;0.5;0.0;1.1;1.1;0.0;;;
2;20/12/2021;23:00;1.0;0.3;0.6;0.2;0.1;0.1;0.0;0.1;0.1;0.5;0.2;0.4;1.1;0.3;0.8;;;
2;20/12/2021;00:00;0.9;0.0;1.0;0.2;0.0;0.2;0.1;0.0;0.0;0.6;0.0;0.6;1.1;0.0;1.1;;;
2;20/12/2021;Daily Total;27.7;4.3;23.4;82.1;3.1;79.0;106.9;2.1;104.8;227.9;5.3;222.7;190.2;6.2;184.0;;;
2;20/12/2021;Daily Maximum;1.4;1.1;1.4;8.7;1.1;8.9;9.6;0.7;9.8;21.6;1.7;21.8;19.5;2.0;19.4;;;
2;20/12/2021;Daily Minimum;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;;;
2;20/12/2021;Daily Average;1.2;0.2;1.0;3.4;0.1;3.3;4.5;0.1;4.4;9.5;0.2;9.3;7.9;0.3;7.7;;;
2;20/12/2021;Monthly Total;514.1;84.8;429.3;1599.7;104.9;1494.8;1565.9;67.0;1498.9;3035.0;120.0;2915.1;2601.4;143.1;2458.4;;;
2;20/12/2021;Monthly Maximum;27.7;4.5;23.4;135.9;36.0;133.8;130.5;29.3;127.8;313.7;21.5;309.0;248.9;25.9;243.7;;;
2;20/12/2021;Monthly Minimum;23.0;4.1;18.7;1.9;0.3;1.6;1.0;0.1;0.8;5.9;0.7;5.2;12.1;1.5;6.1;;;
2;20/12/2021;Monthly Average;25.7;4.2;21.5;80.0;5.2;74.7;78.3;3.4;74.9;151.8;6.0;145.8;130.1;7.2;122.9;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Daily report lt 53 Zone FGHI;;;;;;;Printed Date 2021/12/21(Tue);;;3
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 53 Zone F;kWh WBP 53 Zone F;kWh LWBP 53 Zone F;kWh total 53 Zone G;kWh WBP 53 Zone G;kWh LWBP 53 Zone G;kWh total 53 Zone H;kWh WBP 53 Zone H;kWh LWBP 53 Zone H;kWh total 53 Zone I;kWh WBP 53 Zone I;kWh LWBP 53 Zone I;;;;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;;;;;;
3;20/12/2021;01:00;0.2;0.0;0.2;0.9;0.0;0.9;2.7;0.0;2.6;0.3;0.0;0.3;;;;;;
3;20/12/2021;02:00;0.1;0.0;0.1;0.9;0.0;0.9;2.6;0.0;2.7;0.4;0.0;0.4;;;;;;
3;20/12/2021;03:00;0.2;0.0;0.2;0.9;0.0;0.9;2.5;0.0;2.5;0.4;0.0;0.4;;;;;;
3;20/12/2021;04:00;0.2;0.0;0.1;0.9;0.0;0.9;2.7;0.0;2.6;0.3;0.0;0.3;;;;;;
3;20/12/2021;05:00;0.1;0.0;0.2;0.9;0.0;0.9;2.5;0.0;2.6;0.4;0.0;0.4;;;;;;
3;20/12/2021;06:00;0.2;0.0;0.1;1.3;0.0;1.3;2.6;0.0;2.5;0.4;0.0;0.4;;;;;;
3;20/12/2021;07:00;2.8;0.0;2.9;8.5;0.0;8.7;3.2;0.0;3.3;0.4;0.0;0.4;;;;;;
